fifa_match_no,stage,group_name,home_team,away_team,home_placeholder,away_placeholder,kickoff_at,venue
38,GROUP,G,Belgium,Iran,,,2026-06-21T19:00:00Z,SoFi Stadium
39,GROUP,H,Uruguay,Cabo Verde,,,2026-06-21T22:00:00Z,Hard Rock Stadium
40,GROUP,G,New Zealand,Egypt,,,2026-06-22T01:00:00Z,BC Place
41,GROUP,J,Argentina,Austria,,,2026-06-22T17:00:00Z,AT&T Stadium
42,GROUP,I,France,Iraq,,,2026-06-22T21:00:00Z,Lincoln Financial Field
43,GROUP,I,Norway,Senegal,,,2026-06-23T00:00:00Z,MetLife Stadium
44,GROUP,J,Jordan,Algeria,,,2026-06-23T03:00:00Z,Levi's Stadium
45,GROUP,K,Portugal,Uzbekistan,,,2026-06-23T17:00:00Z,NRG Stadium
46,GROUP,L,England,Ghana,,,2026-06-23T20:00:00Z,Gillette Stadium
47,GROUP,L,Panama,Croatia,,,2026-06-23T23:00:00Z,BMO Field
48,GROUP,K,Colombia,DR Congo,,,2026-06-24T02:00:00Z,Estadio Akron
49,GROUP,B,Switzerland,Canada,,,2026-06-24T19:00:00Z,BC Place
50,GROUP,B,Bosnia and Herzegovina,Qatar,,,2026-06-24T19:00:00Z,Lumen Field
51,GROUP,C,Morocco,Haiti,,,2026-06-24T22:00:00Z,Mercedes-Benz Stadium
52,GROUP,C,Scotland,Brazil,,,2026-06-24T22:00:00Z,Hard Rock Stadium
53,GROUP,A,South Africa,South Korea,,,2026-06-25T01:00:00Z,Estadio BBVA
54,GROUP,A,Czechia,Mexico,,,2026-06-25T01:00:00Z,Estadio Azteca
55,GROUP,E,Curaçao,Ivory Coast,,,2026-06-25T20:00:00Z,Lincoln Financial Field
56,GROUP,E,Ecuador,Germany,,,2026-06-25T20:00:00Z,MetLife Stadium
57,GROUP,F,Tunisia,Netherlands,,,2026-06-25T23:00:00Z,Arrowhead Stadium
58,GROUP,F,Japan,Sweden,,,2026-06-25T23:00:00Z,AT&T Stadium
59,GROUP,D,Türkiye,United States,,,2026-06-26T02:00:00Z,SoFi Stadium
60,GROUP,D,Paraguay,Australia,,,2026-06-26T02:00:00Z,Levi's Stadium
61,GROUP,I,Norway,France,,,2026-06-26T19:00:00Z,Gillette Stadium
62,GROUP,I,Senegal,Iraq,,,2026-06-26T19:00:00Z,BMO Field
63,GROUP,H,Cabo Verde,Saudi Arabia,,,2026-06-27T00:00:00Z,NRG Stadium
64,GROUP,H,Uruguay,Spain,,,2026-06-27T00:00:00Z,Estadio Akron
65,GROUP,G,New Zealand,Belgium,,,2026-06-27T03:00:00Z,BC Place
66,GROUP,G,Egypt,Iran,,,2026-06-27T03:00:00Z,Lumen Field
67,GROUP,L,Panama,England,,,2026-06-27T21:00:00Z,MetLife Stadium
68,GROUP,L,Croatia,Ghana,,,2026-06-27T21:00:00Z,Lincoln Financial Field
69,GROUP,K,Colombia,Portugal,,,2026-06-27T23:30:00Z,Hard Rock Stadium
70,GROUP,K,DR Congo,Uzbekistan,,,2026-06-27T23:30:00Z,Mercedes-Benz Stadium
71,GROUP,J,Algeria,Austria,,,2026-06-28T02:00:00Z,Arrowhead Stadium
72,GROUP,J,Jordan,Argentina,,,2026-06-28T02:00:00Z,AT&T Stadium
73,ROUND_OF_32,,South Africa,Canada,2nd Group A,2nd Group B,2026-06-28T19:00:00Z,SoFi Stadium
74,ROUND_OF_32,,Germany,,1st Group E,3rd Group A/B/C/D/F,2026-06-29T20:30:00Z,Gillette Stadium
75,ROUND_OF_32,,Netherlands,Morocco,1st Group F,2nd Group C,2026-06-30T01:00:00Z,Estadio BBVA
76,ROUND_OF_32,,Brazil,Japan,1st Group C,2nd Group F,2026-06-29T17:00:00Z,NRG Stadium
77,ROUND_OF_32,,France,,1st Group I,3rd Group C/D/F/G/H,2026-06-30T21:00:00Z,MetLife Stadium
78,ROUND_OF_32,,Ivory Coast,Norway,2nd Group E,2nd Group I,2026-06-30T17:00:00Z,AT&T Stadium
79,ROUND_OF_32,,Mexico,,1st Group A,3rd Group C/E/F/H/I,2026-07-01T01:00:00Z,Estadio Azteca
80,ROUND_OF_32,,,,1st Group L,3rd Group E/H/I/J/K,2026-07-01T16:00:00Z,Mercedes-Benz Stadium
81,ROUND_OF_32,,United States,Bosnia and Herzegovina,1st Group D,3rd Group B/E/F/I/J,2026-07-02T00:00:00Z,Levi's Stadium
82,ROUND_OF_32,,,,1st Group G,3rd Group A/E/H/I/J,2026-07-01T20:00:00Z,Lumen Field
83,ROUND_OF_32,,,,2nd Group K,2nd Group L,2026-07-02T23:00:00Z,BMO Field
84,ROUND_OF_32,,,,1st Group H,2nd Group J,2026-07-02T19:00:00Z,SoFi Stadium
85,ROUND_OF_32,,Switzerland,,1st Group B,3rd Group E/F/G/I/J,2026-07-03T03:00:00Z,BC Place
86,ROUND_OF_32,,Argentina,,1st Group J,2nd Group H,2026-07-03T22:00:00Z,Hard Rock Stadium
87,ROUND_OF_32,,,,1st Group K,3rd Group D/E/I/J/L,2026-07-04T01:30:00Z,Arrowhead Stadium
88,ROUND_OF_32,,Australia,,2nd Group D,2nd Group G,2026-07-03T18:00:00Z,AT&T Stadium
89,ROUND_OF_16,,,,"Winner Match 74","Winner Match 77",2026-07-04T16:00:00Z,Lincoln Financial Field
90,ROUND_OF_16,,,,"Winner Match 73","Winner Match 75",2026-07-04T20:00:00Z,NRG Stadium
91,ROUND_OF_16,,,,"Winner Match 76","Winner Match 78",2026-07-05T20:00:00Z,MetLife Stadium
92,ROUND_OF_16,,,,"Winner Match 79","Winner Match 80",2026-07-05T23:00:00Z,Estadio Azteca
93,ROUND_OF_16,,,,"Winner Match 83","Winner Match 84",2026-07-06T20:00:00Z,AT&T Stadium
94,ROUND_OF_16,,,,"Winner Match 81","Winner Match 82",2026-07-06T23:00:00Z,Lumen Field
95,ROUND_OF_16,,,,"Winner Match 86","Winner Match 88",2026-07-07T20:00:00Z,Mercedes-Benz Stadium
96,ROUND_OF_16,,,,"Winner Match 85","Winner Match 87",2026-07-07T23:00:00Z,BC Place
97,QUARTER_FINAL,,,,"Winner Match 89","Winner Match 90",2026-07-09T20:00:00Z,Gillette Stadium
98,QUARTER_FINAL,,,,"Winner Match 93","Winner Match 94",2026-07-10T19:00:00Z,SoFi Stadium
99,QUARTER_FINAL,,,,"Winner Match 91","Winner Match 92",2026-07-11T21:00:00Z,Hard Rock Stadium
100,QUARTER_FINAL,,,,"Winner Match 95","Winner Match 96",2026-07-12T01:00:00Z,Arrowhead Stadium
101,SEMI_FINAL,,,,"Winner Match 97","Winner Match 98",2026-07-14T19:00:00Z,AT&T Stadium
102,SEMI_FINAL,,,,"Winner Match 99","Winner Match 100",2026-07-15T19:00:00Z,Mercedes-Benz Stadium
103,THIRD_PLACE,,,,"Loser Match 101","Loser Match 102",2026-07-18T21:00:00Z,Hard Rock Stadium
104,FINAL,,,,"Winner Match 101","Winner Match 102",2026-07-19T19:00:00Z,MetLife Stadium
